what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1398090263590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1398090263691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.next",1398090374575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1398090377756
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1398090379340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090434860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090448898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398090450144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090451685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090467264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398090470111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090471492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090481321
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1398090487173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090489621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398090494281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.next",1398090527741
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1398090528651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.next",1398090530961
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1398090532519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.next",1398090540093
